Chr	start	end	Gene_name
chr11	71242577	71262577	SHANK2
chr2	161406296	161426296	TBR1
chr2	224559955	224579955	CUL3
chr2	224575363	224595363	CUL3
chr11	68203296	68223296	KMT5B
chr11	68203317	68223317	KMT5B
chr11	68203345	68223345	KMT5B
chr11	68203648	68223648	KMT5B
chr4	84956690	84976690	WDFY3
chr2	183028457	183048457	NCKAP1
chrX	71134840	71154840	NLGN3
chr17	62467810	62487810	TLK2
chr17	62468823	62488823	TLK2
chr17	62468824	62488824	TLK2
chr17	62469117	62489117	TLK2
chr17	62469443	62489443	TLK2
chr17	62470767	62490767	TLK2
chr18	33568218	33588218	ASXL3
chr2	166118020	166138020	SCN1A
chr2	166139161	166159161	SCN1A
chr16	67552525	67572525	CTCF
chr16	67560772	67580772	CTCF
chr11	118426491	118446491	KMT2A
chr2	232687330	232707330	GIGYF2
chr2	232724416	232744416	GIGYF2
chr7	103979658	103999658	RELN
chr17	67356577	67376577	PSMD12
chr1	114747984	114767984	CSDE1
chr6	71876549	71896549	RIMS1
chr6	71876702	71896702	RIMS1
chr6	72202892	72222892	RIMS1
chr6	72206520	72226520	RIMS1
chr6	72206940	72226940	RIMS1
chr6	72356745	72376745	RIMS1
chr14	101954572	101974572	DYNC1H1
chr17	29380362	29400362	TAOK1
chr17	29380924	29400924	TAOK1
chr16	89480561	89500561	ANKRD11
chr12	116267693	116287693	MED13L
chr11	46110819	46130819	PHF21A
chr11	46111454	46131454	PHF21A
chr9	127601911	127621911	STXBP1
chr9	127602276	127622276	STXBP1
chr22	96745	116745	TCF20
chr22	96747	116747	TCF20
chr22	104610	124610	TCF20
chr22	104612	124612	TCF20
chr22	107513	127513	TCF20
chr22	107515	127515	TCF20
chr22	108145	128145	TCF20
chr22	108147	128147	TCF20
chr22	115537	135537	TCF20
chr22	115539	135539	TCF20
chr22	126332	146332	TCF20
chr22	126334	146334	TCF20
chr22	127686	147686	TCF20
chr22	127688	147688	TCF20
chr22	42260653	42280653	TCF20
chr22	42273927	42293927	TCF20
chr8	132437262	132457262	KCNQ3
chr8	132471095	132491095	KCNQ3
chr11	196711	216711	DEAF1
chr11	685222	705222	DEAF1
chr11	685754	705754	DEAF1
chr11	697083	717083	DEAF1
chr3	41189504	41209504	CTNNB1
chr17	17671457	17691457	RAI1
chr6	42974569	42994569	PPP2R5D
chr18	55292660	55312660	TCF4
chr18	55310935	55330935	TCF4
chr18	55311841	55331841	TCF4
chr18	55391688	55411688	TCF4
chr18	55393995	55413995	TCF4
chr18	55412297	55432297	TCF4
chr18	55500772	55520772	TCF4
chr18	55576119	55596119	TCF4
chr18	55576122	55596122	TCF4
chr18	55578192	55598192	TCF4
chr18	55578617	55598617	TCF4
chr18	55579811	55599811	TCF4
chr18	55625957	55645957	TCF4
chr16	3870120	3890120	CREBBP
chr16	3870713	3890713	CREBBP
chr5	177123014	177143014	NSD1
chr5	177123772	177143772	NSD1
chr5	177124228	177144228	NSD1
chr15	75441690	75461690	SIN3A
chr15	75445815	75465815	SIN3A
chr7	69588474	69608474	AUTS2
chr10	129954274	129974274	EBF3
chr15	37088696	37108696	MEIS2
chr15	37089106	37109106	MEIS2
chr15	37090549	37110549	MEIS2
chr15	37091311	37111311	MEIS2
chr3	114373642	114393642	ZBTB20
chr3	114614206	114634206	ZBTB20
chr3	114614945	114634945	ZBTB20
chr3	114735982	114755982	ZBTB20
chr3	114749107	114769107	ZBTB20
chr3	114890625	114910625	ZBTB20
chr3	115061414	115081414	ZBTB20
chr3	115090308	115110308	ZBTB20
chr3	115137288	115157288	ZBTB20
chr17	7195187	7215187	DLG4
chr17	7197271	7217271	DLG4
chr17	7207627	7227627	DLG4
chr17	7210050	7230050	DLG4
chr9	137609004	137629004	EHMT1
chr20	49472668	49492668	KCNB1
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr19	102590	122590	CNOT3
chr16	30689170	30709170	SRCAP
chr19	54127761	54147761	CNOT3
chr2	28741603	28761603	PPP1CB
chr2	28741829	28761829	PPP1CB
chr22	41082591	41102591	EP300
chr21	33533037	33553037	SON
chr15	25428229	25448229	UBE3A
chr15	25429024	25449024	UBE3A
chr15	25429056	25449056	UBE3A
chr18	44670072	44690072	SETBP1
chr18	44670887	44690887	SETBP1
chr18	44690874	44710874	SETBP1
chr13	114304502	114324502	CHAMP1
chr1	244854525	244874525	HNRNPU
chr1	244854543	244874543	HNRNPU
chr3	47154113	47174113	SETD2
chr6	79068254	79088254	PHIP
chr14	100229143	100249143	YY1
chr10	110909369	110929369	SHOC2
chr10	110909603	110929603	SHOC2
chr7	140914268	140934268	BRAF
chr7	140914929	140934929	BRAF
chr16	10172067	10192067	GRIN2A
chr16	10172428	10192428	GRIN2A
chr16	10172908	10192908	GRIN2A
chr11	66060271	66080271	PACS1
chr12	112408946	112428946	PTPN11
chr9	137129153	137149153	GRIN1
chr15	66376911	66396911	MAP2K1
chr1	27593494	27613494	AHDC1
chr1	27594144	27614144	AHDC1
chr12	51581232	51601232	SCN8A
chr17	7874795	7894795	CHD3
chr17	7878788	7898788	CHD3
chr1	11252551	11272551	MTOR
chr6	142935176	142955176	HIVEP2
chr15	4585331	4605331	MAGEL2
chr17	551511	571511	KANSL1
chr17	583536	603536	KANSL1
chr17	584196	604196	KANSL1
chr17	884886	904886	KANSL1
chr17	885533	905533	KANSL1
chr17	917537	937537	KANSL1
chr15	23637867	23657867	MAGEL2
chr17	46182782	46202782	KANSL1
chr17	46183429	46203429	KANSL1
chr17	46215367	46235367	KANSL1
chr12	23574586	23594586	SOX5
chr12	23939670	23959670	SOX5
chr12	23940927	23960927	SOX5
chr12	24552491	24572491	SOX5
chr2	156322721	156342721	NR4A2
chr12	385130	405130	CACNA1C
chr12	2042986	2062986	CACNA1C
chr22	20972296	20992296	LZTR1
chr12	25240929	25260929	KRAS
chr14	28756786	28776786	FOXG1
chr5	88775511	88795511	MEF2C
chr5	88813927	88833927	MEF2C
chr5	88814344	88834344	MEF2C
chr5	88816060	88836060	MEF2C
chr5	88817192	88837192	MEF2C
chr5	88873184	88893184	MEF2C
chr5	88874536	88894536	MEF2C
chr5	88879375	88899375	MEF2C
chr5	88894105	88914105	MEF2C
chr11	55217	75217	HRAS
chr11	525576	545576	HRAS
chr1	155900918	155920918	RIT1
chr1	155901349	155921349	RIT1
chr8	60668739	60688739	CHD7
chr8	60731258	60751258	CHD7
chr6	87145564	87165564	ZNF292
chr12	56179483	56199483	SMARCC2
chr9	3479434	3499434	RFX3
chr9	3516001	3536001	RFX3
chr9	74487334	74507334	RORB
chr9	74605533	74625533	RORB
chr17	31084926	31104926	NF1
chr17	31084976	31104976	NF1
chr11	1379933	1399933	BRSK2
chr11	1400469	1420469	BRSK2
chr11	1401151	1421151	BRSK2
chr17	62055278	62075278	MED13
chr5	36866768	36886768	NIPBL
chr19	42258529	42278529	CIC
chr19	42259251	42279251	CIC
chr19	42274468	42294468	CIC
chr9	106853165	106873165	ZNF462
chr9	132934616	132954616	TSC1
chr5	138342684	138362684	KDM3B
chr11	34041730	34061730	CAPRIN1
chr17	18301	38301	NLGN2
chr17	7397844	7417844	NLGN2
chr1	10786646	10806646	CASZ1
chr2	39111051	39131051	SOS1
chr2	39114868	39134868	SOS1
chr17	62956234	62976234	TANC2
chrX	41323307	41343307	DDX3X
chrX	41324161	41344161	DDX3X
chrX	41324165	41344165	DDX3X
chrX	18415607	18435607	CDKL5
chrX	18432223	18452223	CDKL5
chrX	41913034	41933034	CASK
chrX	41913554	41933554	CASK
chr1	8413832	8433832	RERE
chr1	8807640	8827640	RERE
chrX	77776216	77796216	ATRX
chrX	154086969	154106969	MECP2
chrX	154087717	154107717	MECP2
chr11	119196338	119216338	CBL
chrX	53271584	53291584	IQSEC2
chrX	53311350	53331350	IQSEC2
chrX	100400273	100420273	PCDH19
chrX	74915452	74935452	NEXMIF
chr16	2037984	2057984	TSC2
chr16	2038201	2058201	TSC2
chr7	5520601	5540601	ACTB
chr3	12653508	12673508	RAF1
chr3	12654117	12674117	RAF1
chr10	60130740	60150740	ANK3
chr10	60379875	60399875	ANK3
chr10	60562956	60582956	ANK3
chr10	60723528	60743528	ANK3
chr14	78160372	78180372	NRXN3
chr14	78393718	78413718	NRXN3
chr14	79269379	79289379	NRXN3
chr1	114706771	114726771	NRAS
chr13	34932269	34952269	NBEA
chr13	35466808	35486808	NBEA
chr20	38462842	38482842	RALGAPB
chr11	64633545	64653545	NRXN2
chr11	64713197	64733197	NRXN2
chrX	23324848	23344848	PTCHD1
chrX	119842963	119862963	UPF3B
chrX	135975434	135995434	SLC9A6
chrX	148490616	148510616	AFF2
chrX	148709090	148729090	AFF2
chrX	6217087	6237087	NLGN4X
chrX	6217847	6237847	NLGN4X
chrX	6218867	6238867	NLGN4X
chr14	50221578	50241578	SOS2
chr6	63625801	63645801	PHF3
chr6	63626480	63646480	PHF3
chr6	63636525	63656525	PHF3
chr4	106306209	106326209	TBCK
chr4	106306683	106326683	TBCK
chr6	24484968	24504968	ALDH5A1
chr19	4114122	4134122	MAP2K2
chr16	31098385	31118385	BCKDK
chrX	25005965	25025965	ARX
chr1	46187499	46207499	POMGNT1
chr1	46188434	46208434	POMGNT1
chr1	46210305	46230305	POMGNT1
chr11	71438393	71458393	DHCR7
chr8	99003273	99023273	VPS13B
chr19	154377	174377	MBOAT7
chr19	154544	174544	MBOAT7
chr19	154545	174545	MBOAT7
chr19	154545	174545	MBOAT7
chr19	154545	174545	MBOAT7
chr19	154545	174545	MBOAT7
chr19	154545	174545	MBOAT7
chr19	154545	174545	MBOAT7
chr19	154545	174545	MBOAT7
chr22	40336499	40356499	ADSL
chr19	45769619	45789619	DMPK
chr19	45770603	45790603	DMPK
chr19	45772490	45792490	DMPK
chr19	54179580	54199580	MBOAT7
chrX	101398221	101418221	HNRNPH2
chrX	147901918	147921918	FMR1
chrX	63745123	63765123	ARHGEF9
chrX	63745216	63765216	ARHGEF9
chrX	63775214	63795214	ARHGEF9
chr11	7977336	7997336	EIF3F
